spot_id,broker_id,sector_name,type_name,state,municipality,settlement,corridor,region,lat,lon,title,description,area_sqm,price_sqm_mxn_rent,price_sqm_mxn_sale,price_total_mxn_rent,price_total_mxn_sale,maintenance_cost_mxn,modality,days_on_market,total_inquiries,total_views,is_active,created_at,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities_count,entity,anomaly_group,anomaly_score,isolation_forest_flag,anomaly_percentile_within_group,robust_deviation_explanation
387,171,Retail,Subspace,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.430461,-99.141667,"Subspace 7248 m², roma-condesa",Cuenta con todos los servicios y estacionamiento. Excelente ubicación con acceso a vías principales. Recién remodelado con acabados modernos.,7248.7,405.6,,2940072.72,,331685.13,rent,13,1,12,True,2024-01-19,True,0,2.0,none,0,14,,242,good,polished_concrete,0.0,spot,sector_name=Retail | modality=rent,0.12457018843001955,True,1.0,parking_spaces=6.2 MAD; maintenance_cost_mxn=3.7 MAD; area_sqm=3.4 MAD
1718,213,Office,Subspace,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.424244,-99.174174,"Subspace en Office - roma-condesa, Cuauhtémoc",Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,7321.6,343.43,,2514457.09,,281792.8,rent,42,6,128,True,2026-02-28,True,1,16.0,basic,0,19,,367,new,concrete,3.0,spot,sector_name=Office | modality=rent,0.10038917111419099,True,1.0,parking_spaces=3.3 MAD; elevators=3.2 MAD; area_sqm=2.9 MAD
2002,27,Retail,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.677201,-103.373912,"Single Retail en americana-chapultepec, Guadalajara",Amplio espacio con buena iluminación natural. Espacio listo para ocupar con acabados de primera.,1602.8,230.64,,369669.79,,35973.41,rent,164,5,70,True,2025-02-18,False,1,19.0,basic,27,12,5.9,58,fair,concrete,0.0,spot,sector_name=Retail | modality=rent,0.08949264647567823,True,0.9962406015037594,parking_spaces=3.8 MAD; floor_level=2.6 MAD; vertical_height_m=2.5 MAD
1993,93,Office,Single,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.417527,-99.156151,"Office Single - roma-condesa, Cuauhtémoc",Ideal para oficinas corporativas o centro de distribución.,7190.8,540.18,,3884326.34,,569818.73,rent,27,4,94,True,2025-01-01,True,0,,cctv,9,17,3.3,362,good,concrete,2.0,spot,sector_name=Office | modality=rent,0.072740584012432,True,0.997229916897507,maintenance_cost_mxn=3.4 MAD; parking_spaces=3.3 MAD; elevators=3.0 MAD
2183,164,Industrial,Single,Estado de México,Naucalpan de Juárez,Lomas Verdes,lomas-verdes-satelite,centro,19.503165,-99.275271,"Industrial Single - lomas-verdes-satelite, Naucalpan de Juárez",Espacio versátil adaptable a diferentes giros. Zona de alta plusvalía y demanda comercial.,42579.4,281.39,44146.47,11981417.37,1879730204.72,611941.1,both,100,3,85,False,2024-04-24,False,0,,none,3,88,,853,good,wood,3.0,spot,sector_name=Industrial | modality=both,0.07254435657054392,True,1.0,elevators=2.7 MAD; parking_spaces=2.6 MAD; area_sqm=2.5 MAD
2373,34,Land,Single,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.38237,-99.164508,Single de 80077 m² en del-valle-narvarte,Espacio versátil adaptable a diferentes giros. Ideal para oficinas corporativas o centro de distribución. Excelente ubicación con acceso a vías principales.,80077.7,56.56,,4529194.71,,356621.67,rent,39,2,23,True,2024-08-21,True,0,,cctv,30,173,,5,new,concrete,2.0,spot,sector_name=Land | modality=rent,0.07035043176640954,True,1.0,elevators=2.3 MAD; area_sqm=1.9 MAD; maintenance_cost_mxn=1.7 MAD
430,122,Retail,Single,Sonora,Hermosillo,Centenario,centenario-colosio,noroeste,29.084976,-110.974396,"Retail Single - centenario-colosio, Hermosillo",Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Cuenta con todos los servicios y estacionamiento.,3114.9,696.98,,2171023.0,,192412.86,rent,62,4,55,True,2024-07-03,True,1,0.0,cctv,0,6,,103,good,concrete,2.0,spot,sector_name=Retail | modality=rent,0.06819306246039569,True,0.9924812030075187,parking_spaces=4.7 MAD; maintenance_cost_mxn=3.2 MAD; area_sqm=2.7 MAD
630,180,Retail,Subspace,Querétaro,Querétaro,Juriquilla,juriquilla-juncos,bajío,20.726777,-100.438727,"Subspace 6674 m², juriquilla-juncos",Excelente ubicación con acceso a vías principales.,6674.7,314.27,57137.26,2097657.97,381374069.32,133259.93,both,12,3,78,True,2024-01-07,True,3,19.0,none,0,15,4.0,223,good,wood,1.0,spot,sector_name=Retail | modality=both,0.06804299362095179,True,1.0,parking_spaces=4.0 MAD; area_sqm=2.9 MAD; elevators=2.8 MAD
754,299,Office,Subspace,Guanajuato,León,Zona Centro,centro-leon,bajío,21.113268,-101.667692,"Office compartido en centro-leon, León",Espacio listo para ocupar con acabados de primera.,10952.3,437.14,,4787688.42,,245369.89,rent,104,11,114,True,2025-06-01,True,4,,basic,4,23,2.4,549,fair,carpet,0.0,spot,sector_name=Office | modality=rent,0.06352593389247574,True,0.9944598337950139,parking_spaces=3.7 MAD; elevators=3.5 MAD; area_sqm=3.3 MAD
1207,29,Office,Single,Sonora,Hermosillo,Centenario,centenario-colosio,noroeste,29.090066,-110.942045,"Office Single - centenario-colosio, Hermosillo",Fácil acceso a transporte público y avenidas principales. Excelente ubicación con acceso a vías principales.,3477.3,452.85,,1574695.31,,105726.71,rent,5,2,28,True,2025-05-16,False,0,0.0,full,29,16,,174,good,wood,4.0,spot,sector_name=Office | modality=rent,0.06287771667682085,True,0.9916897506925207,elevators=2.9 MAD; parking_spaces=2.6 MAD; area_sqm=2.3 MAD
