spot_id,sample_stratum,original_text,title,description,sector_name,type_name,natural_light,security_type,parking_spaces,building_status,floor_material,elevators,vertical_height_m,amenities,rule_claim_natural_light,rule_claim_security,rule_claim_parking,rule_claim_readiness,rule_direct_conflict_flag,rule_land_building_copy_flag,rule_ambiguity_candidate_flag
2385,rules_positive,"Single Land en centenario-colosio, Hermosillo
Zona de alta plusvalía y demanda comercial. Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.","Single Land en centenario-colosio, Hermosillo",Zona de alta plusvalía y demanda comercial. Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.,Land,Single,false,none,0,needs_renovation,polished_concrete,22,0.0,"[""conference_room"", ""reception"", ""meeting_rooms"", ""storage""]",0,1,0,0,1,0,0
2186,rules_positive,"Single Office en metepec-toluca, Toluca
Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.","Single Office en metepec-toluca, Toluca",Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.,Office,Single,true,basic,186,needs_renovation,concrete,8,4.2,[],0,0,0,1,1,0,0
1199,rules_positive,"Land Single - polanco, Miguel Hidalgo
Espacio listo para ocupar con acabados de primera. Perfecto para negocio en crecimiento.","Land Single - polanco, Miguel Hidalgo",Espacio listo para ocupar con acabados de primera. Perfecto para negocio en crecimiento.,Land,Single,true,cctv,0,needs_renovation,ceramic,4,0.0,"[""rooftop"", ""cafeteria""]",0,0,0,1,1,1,0
2796,rules_positive,"Single Retail en lomas-verdes-satelite, Naucalpan de Juárez
Espacio listo para ocupar con acabados de primera. Espacio versátil adaptable a diferentes giros. Fácil acceso a transporte público y avenidas principales.","Single Retail en lomas-verdes-satelite, Naucalpan de Juárez",Espacio listo para ocupar con acabados de primera. Espacio versátil adaptable a diferentes giros. Fácil acceso a transporte público y avenidas principales.,Retail,Single,false,basic,8,needs_renovation,polished_concrete,1,4.8,[],0,0,0,1,1,0,0
212,rules_positive,"Single de 30 m² en vasconcelos-calzada
Amplio espacio con buena iluminación natural. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.",Single de 30 m² en vasconcelos-calzada,Amplio espacio con buena iluminación natural. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,Office,Single,true,none,4,good,ceramic,3,3.6,"[""reception"", ""parking""]",1,1,0,0,1,0,0
822,rules_positive,"Single de 4416 m² en centro-chihuahua
Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales. Seguridad 24/7 y control de acceso.",Single de 4416 m² en centro-chihuahua,Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales. Seguridad 24/7 y control de acceso.,Land,Single,true,none,2,new,ceramic,10,0.0,"[""storage"", ""reception"", ""rooftop"", ""meeting_rooms""]",0,1,0,1,1,1,0
2508,rules_positive,"Subspace 9337 m², centenario-colosio
Espacio versátil adaptable a diferentes giros. Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.","Subspace 9337 m², centenario-colosio",Espacio versátil adaptable a diferentes giros. Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,Land,Subspace,false,none,2,new,ceramic,28,,"[""parking"", ""loading_dock"", ""lounge"", ""conference_room""]",1,0,0,0,1,1,0
1000,rules_positive,"Land compartido en centro-leon, León
Amplio espacio con buena iluminación natural.","Land compartido en centro-leon, León",Amplio espacio con buena iluminación natural.,Land,Subspace,false,none,1,good,concrete,9,0.0,"[""parking""]",1,0,0,0,1,1,0
2597,rules_positive,"Office Single - vasconcelos-calzada, San Pedro Garza García
Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos.","Office Single - vasconcelos-calzada, San Pedro Garza García",Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos.,Office,Single,true,none,527,needs_renovation,concrete,24,3.5,[],0,0,1,1,1,0,0
2542,rules_positive,"Single de 2892 m² en paseo-montejo
Espacio listo para ocupar con acabados de primera. Excelente ubicación con acceso a vías principales.",Single de 2892 m² en paseo-montejo,Espacio listo para ocupar con acabados de primera. Excelente ubicación con acceso a vías principales.,Industrial,Single,false,basic,59,needs_renovation,ceramic,5,11.0,"[""cafeteria"", ""loading_dock"", ""security_booth""]",0,0,0,1,1,0,0
