spot_id,sector_name,type_name,rule_id,claim_type,evidence_text,structured_field,structured_value,classification,severity,reason
1,Retail,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
16,Retail,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
18,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
21,Land,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
24,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
24,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
29,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
53,Office,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
100,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
104,Office,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
107,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
109,Retail,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
114,Industrial,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
118,Land,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
120,Industrial,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
126,Retail,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
127,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
129,Retail,Subspace,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
141,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
154,Retail,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
158,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
163,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
164,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
182,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
212,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
218,Office,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
229,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
232,Land,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
235,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
253,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
272,Land,Single,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
277,Retail,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
284,Office,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
287,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
288,Land,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
291,Retail,Subspace,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
307,Land,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
309,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
314,Industrial,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
324,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
333,Office,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
336,Land,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
351,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
355,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
372,Retail,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
373,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
376,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
397,Industrial,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
408,Land,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
416,Retail,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
418,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
433,Industrial,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
441,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
460,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
474,Land,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
485,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
492,Retail,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
494,Land,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
510,Industrial,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
514,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
526,Land,Single,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
531,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
544,Office,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
558,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
561,Retail,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
563,Land,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
563,Land,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
594,Industrial,Subspace,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
597,Retail,Subspace,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
601,Retail,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
604,Office,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
617,Land,Single,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
633,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
634,Industrial,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
636,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
641,Retail,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
650,Retail,Subspace,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
657,Industrial,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
662,Land,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
681,Retail,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
707,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
724,Office,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
751,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
765,Land,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
781,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
785,Land,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
786,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
787,Office,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
790,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
793,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
