feature_name,feature_family,source_table,raw_columns,business_meaning,stage,earliest_available_at,transformation,fit_required,fold_aware,leakage_risk,model_role,evidence,status,notes
user_type,T1_A_INTAKE,leads,user_type,Lead/customer type,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
company_size,T1_A_INTAKE,leads,company_size,Company size,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
industry,T1_A_INTAKE,leads,industry,Industry,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
search_sector,T1_A_INTAKE,leads,search_sector,Requested property sector,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
search_modality,T1_A_INTAKE,leads,search_modality,Rent/sale/both need,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
target_area_sqm,T1_A_INTAKE,leads,target_area_sqm,Intake target area,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
min_budget_mxn_rent_monthly,T1_A_INTAKE,leads,min_budget_mxn_rent_monthly,Intake rent lower bound,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
max_budget_mxn_rent_monthly,T1_A_INTAKE,leads,max_budget_mxn_rent_monthly,Intake rent upper bound,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
min_budget_mxn_sale_total,T1_A_INTAKE,leads,min_budget_mxn_sale_total,Intake sale lower bound,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
max_budget_mxn_sale_total,T1_A_INTAKE,leads,max_budget_mxn_sale_total,Intake sale upper bound,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
preferred_state,T1_A_INTAKE,leads,preferred_state,Preferred state,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
preferred_municipality,T1_A_INTAKE,leads,preferred_municipality,Preferred municipality,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
preferred_corridor,T1_A_INTAKE,leads,preferred_corridor,Preferred corridor,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
source,T1_A_INTAKE,leads,source,Acquisition source,T0|T1|T2,leads.created_at,raw intake value,false,false,LOW,LEAD_QUALITY,P1 temporal ontology; EDA development only,REQUIRED,Core LeadQuality intake.
rent_budget_applicable,T1_A_INTAKE_DERIVED,leads,search_modality,Whether rent budget is applicable to the stated need,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
sale_budget_applicable,T1_A_INTAKE_DERIVED,leads,search_modality,Whether sale budget is applicable to the stated need,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
