spot_id,sector_name,type_name,modality,title,description,natural_light,security_type,parking_spaces,building_status,amenities,s001_discovery_pattern_present,human_actionable_issue,human_claim_labels_json,human_notes,reviewer,reviewed_at
8,Land,Single,sale,Single de 3228 m² en andares-puerta-hierro,Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,True,full,0,good,"[""gym"",""meeting_rooms""]",1,,,,,
9,Land,Subspace,rent,"Land compartido en del-valle-narvarte, Benito Juárez",Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales.,True,basic,3,fair,[],0,,,,,
26,Land,Single,rent,"Single Land en metepec-toluca, Toluca",Espacio versátil adaptable a diferentes giros. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,True,none,0,new,"[""security_booth"",""lounge"",""conference_room"",""storage""]",0,,,,,
27,Land,Single,both,"Land Single - angelopolis-lomas, Puebla",Recién remodelado con acabados modernos. Amplio espacio con buena iluminación natural.,True,cctv,2,good,"[""meeting_rooms""]",1,,,,,
38,Land,Single,sale,"Land Single - del-valle-narvarte, Benito Juárez",Ideal para oficinas corporativas o centro de distribución. Espacio versátil adaptable a diferentes giros.,False,none,1,good,[],0,,,,,
48,Land,Single,rent,"Single Land en centenario-colosio, Hermosillo",Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,True,cctv,1,fair,[],1,,,,,
195,Land,Subspace,sale,"Land compartido en macroplaza, Monterrey",Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,True,basic,0,good,"[""conference_room"",""gym"",""lounge""]",0,,,,,
199,Land,Single,sale,Single de 1485 m² en vasconcelos-calzada,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Perfecto para negocio en crecimiento.,True,basic,1,new,[],1,,,,,
211,Land,Subspace,rent,"Subspace en Land - centro-leon, León",Seguridad 24/7 y control de acceso.,False,cctv,3,good,"[""loading_dock"",""kitchen""]",0,,,,,
219,Land,Single,sale,"Single Land en centro-leon, León",Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,True,basic,1,good,[],0,,,,,
225,Land,Single,rent,Single de 1957 m² en polanco,Espacio listo para ocupar con acabados de primera.,False,basic,1,good,"[""rooftop"",""lounge"",""conference_room"",""meeting_rooms""]",1,,,,,
227,Land,Single,both,Single de 16817 m² en juriquilla-juncos,Zona de alta plusvalía y demanda comercial. Ubicación estratégica cerca de centros comerciales. Espacio versátil adaptable a diferentes giros.,True,cctv,4,good,"[""cafeteria"",""gym"",""reception""]",0,,,,,
239,Land,Single,rent,"Single Land en juriquilla-juncos, Querétaro",Amplio espacio con buena iluminación natural. Espacio versátil adaptable a diferentes giros.,True,basic,1,good,"[""gym"",""security_booth"",""conference_room"",""parking""]",1,,,,,
