table,column,role,valid_stage,action,missing_semantics,treatment,leakage_status,llm_relevance,notes
leads,lead_id,primary_key,T0/T1/T2,KEY_ONLY,none,none,ALLOW as key; BLOCK as predictor,none,Unit of isolation and joins.
leads,user_type,categorical,T0/T1/T2,USE,none,categorical native/one-hot,ALLOW,low,Lead type; never confuse broker lead with spots.broker_id.
leads,company_size,categorical,T0/T1/T2,USE_DERIVED,real missing ~5%,fill __UNKNOWN__; retain missing state,ALLOW,low,Do not mode-impute away unknownness.
leads,industry,categorical,T0/T1/T2,USE_DERIVED,real missing ~3%,fill __UNKNOWN__; optional industry×sector,ALLOW,low,Unknown is its own state.
leads,search_sector,categorical,T0/T1/T2,USE,none,categorical; soft matching preference,ALLOW,low,"Observed exact sector match ~70%, not a hard constraint."
leads,search_modality,categorical,T0/T1/T2,USE,none,categorical; defines budget applicability; hard matching rule,ALLOW,none,rent/sale/both.
leads,target_area_sqm,numeric,T0/T1/T2,USE_DERIVED,none,raw + log1p; sector-aware interpretation,ALLOW,none,Heavy tail; avoid global winsorization.
leads,min_budget_mxn_rent_monthly,numeric,T0/T1/T2,USE_DERIVED,structural for sale; real missing ~3-4% when applicable,applicability flag; open lower bound=0 when applicable+missing; raw/log derived,ALLOW,none,Never global-median impute structural N/A.
leads,max_budget_mxn_rent_monthly,numeric,T0/T1/T2,USE_DERIVED,structural for sale; complete when applicable,raw/log1p; midpoint/width/headroom derivations,ALLOW,none,Monthly MXN.
leads,min_budget_mxn_sale_total,numeric,T0/T1/T2,USE_DERIVED,structural for rent; real missing ~3-4% when applicable,applicability flag; open lower bound=0 when applicable+missing; raw/log derived,ALLOW,none,Never mix with rent units.
leads,max_budget_mxn_sale_total,numeric,T0/T1/T2,USE_DERIVED,structural for rent; complete when applicable,raw/log1p; midpoint/width/headroom derivations,ALLOW,none,Total purchase MXN.
leads,preferred_state,categorical,T0/T1/T2,USE,none,categorical; geographic hierarchy feature,ALLOW,none,Soft preference.
leads,preferred_municipality,categorical,T0/T1/T2,USE,none,categorical; geographic match flag,ALLOW,none,Corridor is not a strict child hierarchy.
leads,preferred_corridor,categorical,T0/T1/T2,USE_DERIVED,real missing ~7.6%,fill __UNSPECIFIED__; geographic_specificity flag,ALLOW,none,Do not infer a corridor silently from municipality.
leads,source,categorical,T0/T1/T2,USE,none,categorical; monitor drift,ALLOW,none,"Acquisition source is associative, not causal."
leads,prior_searches,count,T0/T1/T2,USE_DERIVED,none,raw + log1p + zero flag,CONDITIONAL on true pre-created history,none,Must mean activity before leads.created_at.
leads,prior_inquiries,count,T0/T1/T2,USE_DERIVED,none,raw + log1p + zero flag,CONDITIONAL on true pre-created history,none,Must mean activity before leads.created_at.
leads,has_converted_before,boolean,T0/T1/T2,USE,none,boolean,CONDITIONAL on truly historical semantics,none,Historical conversion only.
leads,lead_score_internal,legacy_score,audit only,BLOCK,none,none,BLOCK,none,"Use only as external benchmark, never as model input."
leads,created_at,timestamp,T0/T1/T2,KEY_DERIVE,none,score time T0; month/weekday; split/censoring anchor,ALLOW,none,Primary temporal anchor.
spots,spot_id,primary_key,T1/T2,KEY_ONLY,none,join key only,ALLOW as key; BLOCK as predictor,none,"Links inquiries, attrs, availability."
spots,broker_id,entity_key,T1/T2,DERIVE_HISTORY,none,grouping key for point-in-time broker history; raw id excluded,CONDITIONAL,none,Avoid broker memorization/look-ahead.
spots,sector_name,categorical,T1/T2,USE,none,categorical; sector gates physical attributes,ALLOW,medium,"LLM may audit semantic coherence with copy, not replace category."
spots,type_name,categorical,T1/T2,USE,none,categorical,ALLOW,low,Single/Subspace.
spots,state,categorical,T1/T2,USE,none,categorical + match flags,ALLOW,none,Spot geography.
spots,municipality,categorical,T1/T2,USE,none,categorical + match flags,ALLOW,none,Soft preference match.
spots,settlement,categorical,T1/T2,USE,none,categorical,ALLOW,none,Micro-location.
spots,corridor,categorical,T1/T2,USE,none,categorical + match flags,ALLOW,none,"Commercial polygon, not strict municipality hierarchy."
spots,region,categorical,T1/T2,USE,none,categorical,ALLOW,none,Coarse geography.
spots,lat,numeric_geo,T1/T2,USE_DERIVED,none,raw coordinates; future distance/accessibility features,ALLOW,none,Coordinates validated in plausible Mexico bounds.
spots,lon,numeric_geo,T1/T2,USE_DERIVED,none,raw coordinates; future distance/accessibility features,ALLOW,none,Pair with lat.
spots,title,text,T1/T2 semantic sidecar,SIDE_CAR,none,exclude from default ABT; semantic QA/extraction only,ALLOW if derived only from contemporaneous listing copy,high,Highly redundant with structured fields; useful for LLM cross-field audit.
spots,description,text,T1/T2 semantic sidecar,SIDE_CAR,none,exclude from default ABT; Rules/LLM semantic QA only,ALLOW if derived only from contemporaneous listing copy,high,Only 12 unique sentences compose current synthetic copy; embeddings risk template learning.
spots,area_sqm,numeric,T1/T2,USE_DERIVED,none,raw + log1p; sector-aware ratios,ALLOW,none,Heavy tail is largely structural by sector.
spots,price_sqm_mxn_rent,numeric,T1/T2,USE_DERIVED,structural for sale,raw + log1p; never impute across modality,ALLOW,none,MXN/m²/month.
spots,price_sqm_mxn_sale,numeric,T1/T2,USE_DERIVED,structural for rent,raw + log1p; never impute across modality,ALLOW,none,MXN/m² sale.
spots,price_total_mxn_rent,numeric,T1/T2,USE_DERIVED,structural for sale,raw + log1p; affordability ratio; effective monthly cost,ALLOW,none,Arithmetic consistency with area×price_sqm is near exact.
spots,price_total_mxn_sale,numeric,T1/T2,USE_DERIVED,structural for rent,raw + log1p; affordability ratio,ALLOW,none,Total purchase MXN.
spots,maintenance_cost_mxn,numeric,T1/T2,USE_DERIVED,structural for sale,raw + log1p; rent+maintenance effective monthly cost,ALLOW,none,Monthly cost.
spots,modality,categorical,T1/T2,USE,none,categorical; hard compatibility rule,ALLOW,none,Observed modality compatibility is 100%.
spots,days_on_market,mutable_current_state,none default,RECONSTRUCT,none,replace with score_time - spots.created_at,BLOCK raw,none,Current snapshot leaks future in historical scoring.
spots,total_inquiries,mutable_current_state,none default,RECONSTRUCT,none,replace with spot_hist_prior_inquiries as-of score time,BLOCK raw,none,Only ~7% exact agreement with inquiries table; semantics not event count.
